Name,SC_PSNR
Simulated_V1\025_OrigSim1Vcomp.jpg,0.675
Simulated_V1\026_OrigSim1Vcomp.jpg,0.425
Simulated_V1\027_OrigSim1Vcomp.jpg,0.55
Simulated_V1\028_OrigSim1Vcomp.jpg,1.3625
Simulated_V1\029_OrigSim1Vcomp.jpg,0.8
Simulated_V1\030_OrigSim1Vcomp.jpg,0.9875
Simulated_V1\031_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\034_OrigSim1Vcomp.jpg,0.925
Simulated_V1\039_OrigSim1Vcomp.jpg,0.55
Simulated_V1\040_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\041_OrigSim1Vcomp.jpg,0.425
Simulated_V1\042_OrigSim1Vcomp.jpg,0.2375
Simulated_V1\043_OrigSim1Vcomp.jpg,0.175
Simulated_V1\044_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\045_OrigSim1Vcomp.jpg,0.3
Simulated_V1\046_OrigSim1Vcomp.jpg,0.55
Simulated_V1\047_OrigSim1Vcomp.jpg,0.8625
Simulated_V1\048_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\049_OrigSim1Vcomp.jpg,0.3
Simulated_V1\050_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\051_OrigSim1Vcomp.jpg,0.55
Simulated_V1\052_OrigSim1Vcomp.jpg,0.675
Simulated_V1\053_OrigSim1Vcomp.jpg,0.425
Simulated_V1\055_OrigSim1Vcomp.jpg,0.55
Simulated_V1\056_OrigSim1Vcomp.jpg,1.3625
Simulated_V1\057_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\058_OrigSim1Vcomp.jpg,0.675
Simulated_V1\059_OrigSim1Vcomp.jpg,0.2375
Simulated_V1\060_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\061_OrigSim1Vcomp.jpg,0.55
Simulated_V1\062_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\063_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\064_OrigSim1Vcomp.jpg,0.425
Simulated_V1\065_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\066_OrigSim1Vcomp.jpg,0.55
Simulated_V1\067_OrigSim1Vcomp.jpg,0.425
Simulated_V1\068_OrigSim1Vcomp.jpg,0.425
Simulated_V1\069_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\070_OrigSim1Vcomp.jpg,0.425
Simulated_V1\071_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\072_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\073_OrigSim1Vcomp.jpg,1.1125
Simulated_V1\075_OrigSim1Vcomp.jpg,0.675
Simulated_V1\076_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\077_OrigSim1Vcomp.jpg,0.55
Simulated_V1\078_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\079_OrigSim1Vcomp.jpg,0.55
Simulated_V1\080_OrigSim1Vcomp.jpg,0.425
Simulated_V1\081_OrigSim1Vcomp.jpg,0.425
Simulated_V1\082_OrigSim1Vcomp.jpg,0.425
Simulated_V1\084_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\085_OrigSim1Vcomp.jpg,0.55
Simulated_V1\087_OrigSim1Vcomp.jpg,0.425
Simulated_V1\088_OrigSim1Vcomp.jpg,0.425
Simulated_V1\089_OrigSim1Vcomp.jpg,0.55
Simulated_V1\090_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\091_OrigSim1Vcomp.jpg,0.425
Simulated_V1\092_OrigSim1Vcomp.jpg,0.55
Simulated_V1\093_OrigSim1Vcomp.jpg,0.425
Simulated_V1\095_OrigSim1Vcomp.jpg,0.55
Simulated_V1\096_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\097_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\099_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\100_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\103_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\104_OrigSim1Vcomp.jpg,0.675
Simulated_V1\105_OrigSim1Vcomp.jpg,0.675
Simulated_V1\106_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\107_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\108_OrigSim1Vcomp.jpg,0.55
Simulated_V1\109_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\110_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\113_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\114_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\116_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\117_OrigSim1Vcomp.jpg,0.925
Simulated_V1\118_OrigSim1Vcomp.jpg,0.925
Simulated_V1\119_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\120_OrigSim1Vcomp.jpg,0.425
Simulated_V1\121_OrigSim1Vcomp.jpg,1.2375
Simulated_V1\125_OrigSim1Vcomp.jpg,0.925
Simulated_V1\126_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\128_OrigSim1Vcomp.jpg,0.8
Simulated_V1\130_OrigSim1Vcomp.jpg,0.9875
Simulated_V1\131_OrigSim1Vcomp.jpg,0.55
Simulated_V1\133_OrigSim1Vcomp.jpg,0.3
Simulated_V1\134_OrigSim1Vcomp.jpg,0.675
Simulated_V1\135_OrigSim1Vcomp.jpg,0.675
Simulated_V1\140_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\142_OrigSim1Vcomp.jpg,0.425
Simulated_V1\143_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\144_OrigSim1Vcomp.jpg,1.4875
Simulated_V1\145_OrigSim1Vcomp.jpg,0.425
Simulated_V1\146_OrigSim1Vcomp.jpg,0.8625
Simulated_V1\148_OrigSim1Vcomp.jpg,1.925
Simulated_V1\150_OrigSim1Vcomp.jpg,0.425
Simulated_V1\152_OrigSim1Vcomp.jpg,0.925
Simulated_V1\153_OrigSim1Vcomp.jpg,0.8625
Simulated_V1\154_OrigSim1Vcomp.jpg,0.425
Simulated_V1\155_OrigSim1Vcomp.jpg,0.2375
Simulated_V1\156_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\157_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\158_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\159_OrigSim1Vcomp.jpg,1.2375
Simulated_V1\160_OrigSim1Vcomp.jpg,0.7375
Simulated_V1\161_OrigSim1Vcomp.jpg,0.8625
Simulated_V1\162_OrigSim1Vcomp.jpg,0.3
Simulated_V1\163_OrigSim1Vcomp.jpg,0.4875
Simulated_V1\165_OrigSim1Vcomp.jpg,0.8625
Simulated_V1\166_OrigSim1Vcomp.jpg,0.3625
Simulated_V1\167_OrigSim1Vcomp.jpg,0.6125
Simulated_V1\168_OrigSim1Vcomp.jpg,0.675
Simulated_V1\169_OrigSim1Vcomp.jpg,0.3
